"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"4211",16.53414,29.24122,124.8669,271.89401,284.509696,287.622864,299.598748,333.05523,430.73713,498.92203,521.64558,590.76693,635.87577,700.40908,702.49958,744.87563,811.12199,815.79662,823.42338,838.283448,840.383802,848.32808,853.81588,857.39062,859.77378,863.34852,934.1855092,991.930099,1202.849389,1333.561849,1427.874299,1437.933749,1464.685262,1473.857019,1480.604859,1485.5737126,1531.909021,1658.935793,1677.846493,1718.332601,1721.474771,1985.089081,2111.421711,2215.969921,2343.645131,2345.788091,2535.549391,2548.903111,2641.419955,3227.711005,3551.670375,4194.208275,5305.675844,5640.939775,5948.112285,6401.703955,6729.111435,7154.067065,7519.094185,7706.329585
"4212",15.73222,31.63142,132.1521,280.80678,290.000325,293.113485,306.384534,340.66164,455.580106,523.765186,545.949556,604.277006,646.918166,704.870966,708.083686,745.655806,799.317254,801.731213,808.354306,822.398574,823.802298,828.140667,832.411656,836.329986,838.942206,842.860536,938.709036,990.462053,1207.269056,1329.299606,1406.881186,1416.940666,1441.898161,1458.304176,1470.998896,1481.096012,1524.230706,1666.925322,1692.553178,1758.228286,1761.693466,2024.048726,2107.774236,2197.464056,2326.751096,2330.413076,2547.410596,2561.401276,2678.583683,3312.537176,3552.284646,4100.366996,5175.204956,5590.658676,6019.003876,6505.238816,6948.186866,7485.707836,7652.834776,7810.382176
"4213",21.32682,36.93196,128.209554,272.980694,287.521997,294.022421,305.832303,328.458124,465.449704,533.634874,551.113854,603.243504,644.356944,709.239164,712.306684,757.053604,815.108546,815.754467,817.024346,820.28999,822.704918,827.380341,832.066364,836.607254,839.634514,844.175404,941.208104,997.425763,1276.771664,1385.723934,1450.467574,1461.114184,1493.447974,1516.209304,1533.436984,1546.586666,1609.223994,1766.663725,1782.494644,1856.178224,1857.237548,2109.527004,2203.759704,2272.020624,2382.673884,2387.702024,2635.867424,2650.670264,2791.974284,3232.147244,3502.362844,4079.032914,5104.760024,5485.796014,6007.399014,6594.927064,7216.684694,7628.453174,7700.481184,7791.275464
"4214",18.8009,32.06776,118.28631,267.985672,282.297865,285.585825,304.175209,335.58293,500.94844,569.13361,594.65584,635.93842,676.85374,731.287802,732.428966,746.06754,830.7453038,830.8644707,833.341795,839.837975,842.263301,850.438403,856.361923,860.511493,863.277873,867.427443,1019.745903,1084.42792,1250.209683,1332.899413,1396.084817,1396.752779,1402.503275,1420.622583,1434.725623,1473.284243,1539.036563,1670.724316,1695.503823,1741.269123,1744.288803,1959.812013,2072.271663,2133.879513,2299.229463,2307.090563,2536.010163,2546.595543,2712.130743,3394.570683,3559.158963,4277.301663,5231.038263,5601.975663,6151.972363,6882.672863,7296.846473,7714.099383,7821.978663,7935.222963
"4215",28.57836,37.26586,130.19139,269.851874,287.329477,289.566413,297.865479,321.34974,494.4443,562.62947,584.7129,626.95054,667.8625,739.130095,740.733805,756.61449,823.224729,823.809993,826.442683,833.634341,838.146101,854.166061,861.610507,863.445436,864.668722,866.503651,1021.879071,1093.144796,1282.018971,1352.649711,1409.535191,1414.131581,1434.484721,1447.907511,1457.653711,1486.381651,1543.613181,1667.239501,1701.231629,1745.823391,1760.490961,2022.134081,2136.755931,2236.462801,2400.175951,2406.009011,2580.7983978,2581.811115,2704.795357,3361.983548,3511.561527,4210.563927,5235.610497,5650.546867,6031.657397,6796.154287,7118.205997,7446.557557,7612.482997,7736.797897
"4216",19.006084,32.82972,140.29258,262.6940935,279.0254745,279.9596745,285.7771845,330.4287095,476.4974395,525.2386495,545.1177895,576.5727795,617.4840795,687.8204305,689.3957325,697.1120195,809.1504513,809.3110722,811.4770985,818.8429925,826.1532725,837.7874025,845.5316325,851.2353825,855.0378825,860.7416325,987.5892425,1052.4796825,1256.2534225,1319.7815125,1362.5556015,1363.6697985,1381.5146325,1403.0599925,1418.9081525,1468.9685425,1532.2486125,1666.9760835,1694.2395345,1755.7194125,1767.5733425,2028.6611025,2194.0417025,2269.0199025,2337.6133225,2345.4884825,2504.1203901,2511.3562595,2716.9571195,3228.0688395,3517.0793495,4190.5405995,5378.9335695,5728.5858195,5965.4880695,6744.7743895,7120.3079095,7486.0210295,7680.7006695,7817.2771095
"4217",31.697292,43.77233,145.05414,266.614142,281.701001,285.399409,294.273442,328.79305,442.85573,491.59676,508.28278,545.96606,587.1005,657.585409,659.160707,669.15616,804.6537588,804.8076432,810.747488,832.552898,856.749278,871.346361,877.123608,881.590578,884.568558,889.035528,1010.419678,1093.536838,1277.310678,1324.425498,1357.295898,1360.676418,1376.861628,1390.432458,1400.451418,1457.733118,1541.494288,1683.068229,1705.618326,1759.316688,1776.167058,2039.162648,2160.215948,2255.960558,2327.329348,2354.204548,2527.7097196,2537.096985,2658.339226,3120.092176,3479.388656,4188.207556,5275.628076,5615.364796,5987.134496,6842.673116,7426.605966,7615.892136,7768.415896,7847.949706
"4218",29.162488,33.904342,158.43608,270.744387,284.392876,288.414924,295.667888,330.686561,444.831331,511.296511,528.694781,561.606681,601.361181,691.814998,693.140232,706.506761,810.700675,811.257202,816.188651,839.507291,876.241631,889.35222,890.864453,892.576211,893.717383,895.429141,973.586151,1051.509351,1273.250611,1314.210681,1351.848937,1353.582085,1366.783411,1375.855431,1382.247711,1432.563751,1474.628689,1590.39348,1615.270491,1681.245601,1697.336191,1948.547321,2077.567221,2154.920521,2238.359421,2260.290421,2488.109411,2504.736491,2660.640551,3241.580391,3548.167011,4266.447311,5220.466211,5621.868511,6079.061411,6956.754391,7427.112611,7463.145491,7619.183211,7715.363061
"4219",36.626476,42.888968,164.74255,261.017494,273.196415,274.952615,281.922341,314.804881,412.182061,492.710911,531.301561,570.825291,601.725411,688.74414,689.170838,692.675791,789.142005,789.685617,793.567411,816.196881,858.181161,883.169071,890.515861,894.469021,897.104461,901.057621,982.181731,1066.888891,1281.428391,1319.983331,1345.994502,1347.727635,1353.341283,1361.521631,1367.875031,1409.781211,1460.876131,1570.162228,1606.673871,1720.211431,1737.321721,2001.252221,2093.744721,2143.462121,2216.723121,2239.912321,2496.832441,2513.537221,2725.370821,3232.382551,3459.390871,4242.944571,5223.513071,5623.077471,6039.269171,6928.807531,7322.973601,7419.096871,7598.934371,7729.968101
"4220",31.079908,38.34585,117.20172,260.517771,269.2985,271.24586,292.297919,317.536489,412.237539,487.399599,528.619589,576.832419,601.461639,684.208661,684.453145,687.320369,802.306033,803.15332,808.043209,832.533989,873.754109,898.877269,906.404949,910.378749,913.027949,917.001749,997.675359,1101.829609,1265.236887,1292.608739,1334.03866,1335.771793,1339.29063889,1355.2844311,1368.0747911,1416.3210211,1461.5464771,1606.6305911,1624.7486311,1688.9237911,1707.6750211,1926.5774411,2022.1481511,2106.9271311,2181.1770511,2204.3662511,2482.0411311,2496.3385111,2641.9295811,3252.6129611,3457.6620311,4233.8509811,5251.6568811,5589.6737811,5990.8084811,6892.7672811,7367.5213011,7545.6339811,7696.6178011,7775.5557811
"4221",24.271336,29.305972,117.979471,259.713513,269.725685,272.519397,297.274161,324.046531,411.966611,487.128761,528.348861,569.745411,594.374631,685.443254,685.68774,692.512161,805.140048,805.993029,809.21849,829.821196,871.041376,899.734136,909.440536,914.387686,917.685786,922.632936,1003.313286,1109.409596,1263.272576,1295.248756,1361.225838,1362.958974,1366.9345245,1383.751911,1397.160551,1461.241171,1552.301357,1696.852211,1704.445705,1761.588425,1779.419855,2015.075563,2107.904373,2184.265383,2238.074513,2261.263713,2515.164833,2532.848693,2692.009943,3238.44994,3483.016653,4239.342003,5225.340903,5600.571403,6006.362303,6879.403473,7210.144613,7530.989243,7650.776263,7741.885003
"4222",21.70494,28.765896,129.67286,274.13151,288.263359,290.569511,317.30989,345.29942,425.89465,478.09627,506.6928,559.79117,583.53227,674.008812,674.253296,675.83734,803.997486,804.744594,805.782324,821.36267,862.58285,890.24409,901.04329,908.29276,913.12574,920.37521,1027.95717,1110.77659,1260.458804,1282.72598,1375.190093,1376.923232,1384.552595,1386.85451,1388.32599,1441.183344,1497.37346,1658.15418,1675.79964,1733.95475,1759.54955,2076.90657,2169.81455,2297.91005,2327.10847,2329.99443,2533.22843,2550.45203,2684.01859,3236.118876,3510.84106,4267.22136,5181.60218,5640.31536,6123.49276,6895.32095,7249.09855,7586.7094,7679.01516,7770.05766
"4223",21.14044,28.54279,135.99891,270.182535,287.346038,290.458102,317.29922,351.56348,432.13568,484.3373,512.93383,562.12648,598.1857,696.874322,697.118806,698.682731,828.609029,829.064093,829.4215981,843.641898,884.862078,913.767988,925.068078,932.268738,937.069178,944.269838,1053.975558,1134.586611,1260.136936,1276.166166,1356.712018,1358.445154,1362.5698984,1372.116662,1379.695542,1427.856146,1496.912052,1661.737462,1677.936352,1750.493452,1774.676932,2099.381042,2175.89674,2290.58004,2321.19642,2324.79136,2510.346368,2518.96015,2666.239,3297.317331,3575.54214,4297.50119,5255.56843,5615.72339,6062.43683,6548.54035,7241.308026,7619.920376,7709.439936,7789.106316
"4224",21.68336,35.20814,153.854486,277.322323,289.882529,293.770889,305.987824,330.381434,427.954954,460.789654,487.234354,558.446954,585.957734,680.211798,680.456286,690.547934,843.30412314,843.525358785,843.8049046,851.085506,871.486706,894.099686,905.324546,911.996606,916.444646,923.116706,993.640906,1024.999516,1202.744134,1222.729886,1314.954136,1319.483776,1348.732306,1358.454756,1364.438116,1423.7027,1545.933556,1698.154058,1706.811186,1767.556036,1788.229366,2082.812106,2200.554916,2287.197626,2347.782016,2366.866916,2569.20875,2573.176616,2724.307396,3327.864556,3545.905556,4263.730706,5308.479266,5463.958206,5916.928766,6485.931836,7109.597756,7531.255906,7783.176826,7853.721376
"4225",18.28374,27.726456,146.46028,278.670407,288.073745,291.134825,307.96899,329.15557,434.28951,455.7222,480.89996,536.89381,566.00557,661.326955,661.571445,676.24596,821.8172324,822.4668506,823.287686,829.28981,843.06611,851.682538,857.85529,864.52735,868.97539,875.64745,935.64595,976.43959,1180.17133,1197.70139,1304.5968,1309.31589,1347.01614,1356.25327,1361.13079,1420.633198,1537.23248,1696.848733,1717.44875,1808.5149,1821.67344,2097.65151,2186.36716,2270.70644,2331.19456,2350.27946,2568.07683,2574.37149,2718.86869,3314.21431,3558.94054,4260.25099,5310.88985,5734.83319,6146.05629,6716.2192,7355.47439,7572.82139,7764.77489,7867.7582
"4226",11.38864,18.02146,143.667,273.934837,288.283066,290.832234,322.05892,344.95638,437.7478,468.31981,501.255,571.15072,596.3464,689.687367,691.192261,710.61709,834.830328,835.274832,836.001625,843.87691,863.45239,879.01,887.32911,894.0012,898.44926,905.12135,949.97027,988.71035,1176.676724,1190.49884,1269.76644,1275.63288,1314.12528,1325.81586,1332.7897,1389.7932264,1496.747648,1665.737941,1684.92204,1808.238578,1820.659508,2175.402518,2267.903318,2343.437588,2373.387468,2382.285188,2610.786588,2616.884008,2730.499388,3286.995158,3550.088668,4283.050468,5307.242568,5593.543368,5936.524368,6677.782948,7456.461648,7610.047668,7816.182568,7910.536078
"4227",17.90172,26.97964,123.63425,274.395741,287.054066,289.179642,310.90078,333.650299,434.303539,471.513859,504.943589,576.336309,595.086009,685.091029,687.438469,708.878809,788.071667,788.516171,789.029466,800.216069,831.219989,855.929689,867.691589,876.093329,881.694489,890.096229,962.526709,1000.317239,1205.684099,1223.231804,1273.310429,1277.868089,1313.245139,1336.718509,1353.162829,1420.250773,1504.633739,1682.563377,1713.630957,1845.840609,1847.789517,2179.084369,2257.205809,2297.239139,2330.958529,2339.674289,2564.816309,2571.844569,2676.709139,3282.07774,3548.395809,4259.109659,5329.703969,5585.621659,5971.548959,6672.168829,7268.253149,7457.951549,7655.443449,7736.269449
"4228",14.24848,22.11224,115.50612,272.126269,285.511281,287.453849,309.61981,335.89234,474.678099,494.475219,529.327449,606.449699,620.342519,707.914439,711.871319,733.821079,814.044099,815.201334,816.239213,828.095519,859.099499,874.916958,880.623689,885.659129,889.016089,894.051529,971.782639,1006.9353,1194.210403,1223.514159,1280.708029,1286.875069,1335.457729,1365.834599,1386.913999,1442.318881,1509.483729,1698.305647,1727.774533,1855.493459,1857.240488,2200.931889,2249.138899,2269.705757,2332.767339,2341.483099,2541.393839,2550.171839,2687.967349,3233.503032,3490.716409,4216.365609,5308.020539,5666.539209,6237.086009,6918.424579,7523.184919,7702.1634456,7795.626412,7890.281512
"4229",4.30096,19.37338,138.03086,277.855782,288.4270894,288.6707646,316.561184,351.039644,481.609264,499.324414,526.959514,584.893624,592.825204,676.407074,680.339974,703.100764,823.518142,825.130321,826.896421,840.695404,873.491404,888.699921,891.42835,892.771804,893.66744,895.010894,979.193524,1007.699255,1203.851398,1225.646524,1287.799174,1295.371174,1326.148894,1354.236074,1375.316154,1480.443194,1554.600876,1739.215344,1768.279708,1835.811814,1837.466212,2246.712304,2323.578964,2345.241693,2408.929274,2415.026974,2578.807794,2586.571114,2685.312434,3252.996004,3535.680224,4210.753774,5316.683934,5639.618574,6054.439474,6706.692374,7268.471154,7468.632074,7695.335654,7757.654174
"4230",1.8244,18.17334,145.97407,270.5865,278.894735,280.848935,298.600697,329.98891,488.78173,509.62519,526.30098,582.91231,589.35133,656.006,659.66918,680.60349,797.818936,798.170749,798.3545822,808.782894,839.601894,854.151026,856.609854,857.549154,858.175354,859.114654,935.143031,987.268191,1202.540929,1228.676391,1284.939161,1291.026461,1320.786611,1334.175511,1343.323471,1421.982481,1474.215851,1675.361911,1702.330737,1763.095621,1765.343764,2134.234041,2208.624491,2261.345801,2345.609611,2360.746671,2494.317851,2507.785071,2686.021161,3246.875121,3546.710451,4382.647651,5300.175531,5616.783551,6142.205051,6823.763791,7155.356941,7397.196411,7769.148011,7871.015411
"4231",-1.12722,14.24308,134.78589,276.268333,286.093203,288.225387,313.10897,350.22944,533.03686,548.63809,567.91441,610.23419,616.24625,688.87433,691.12841,707.1339,801.437202,801.789768,803.06427,809.84739,822.09789,842.70874,851.36569,853.72639,855.30019,857.66089,921.213822,970.443672,1193.38244,1240.454132,1293.389982,1298.686962,1316.14461,1326.181992,1333.601792,1419.920722,1491.107908,1666.804353,1694.991904,1765.128252,1767.478965,2105.651252,2192.996052,2283.747722,2365.312792,2381.381112,2519.556172,2534.743512,2652.413262,3169.303922,3494.994802,4321.922652,5262.100612,5543.837852,6083.836252,6807.405852,7206.994372,7418.911192,7692.896492,7812.324392
"4232",-3.25018,12.0005,125.18127,265.687558,280.09777,282.82449,313.13189,356.28623,539.29486,546.041386,564.32635,595.46335,601.414942,686.39311,690.81199,718.21947,797.421816,798.293664,799.747524,808.46914,826.49128,848.9852,858.63502,862.51126,865.09542,868.97166,920.56553,971.58552,1195.14837154,1229.9413477,1283.8396177,1289.8988377,1305.6303457,1314.0189477,1320.4086677,1422.1275577,1536.1994677,1689.2311677,1718.8106577,1775.4189377,1781.9254277,2104.3352077,2193.4646077,2313.6671877,2359.0768677,2372.3443477,2493.8848317,2507.2912477,2649.6143477,3242.3557777,3600.4348777,4287.2690277,5163.9603977,5681.6835277,6232.6396277,6680.0645577,7088.3825777,7366.8042277,7656.0671277,7809.8453277
