"","V1","V2"
"1",807.65561,2618.8863
"2",752.53002,2696.51277
"3",735.24472,2570.45739
"4",744.04761,2557.299662
"5",721.066825,2632.379441
"6",737.578928,2654.121248
"7",732.804674,2680.127497
"8",729.534638,2568.713378
"9",762.074695,2593.964215
"10",822.395817,2623.796007
"11",800.39355,2609.18215
"12",800.384303,2639.611083
"13",776.28288,2606.99835
"14",795.13726,2592.48613
"15",756.10213,2635.75593
"16",752.22635,2647.33211
"17",766.629771,2681.112004
"18",796.27496,2665.2555
"19",799.78365,2659.630498
"20",773.143692,2662.868573
"21",802.814788,2652.286299
"22",795.218502,2689.219112
"23",795.89677,2825.86099
"24",778.981382,2787.425582
"25",772.81552,2780.787105
"26",748.818668,2753.527578
"27",805.45012,2767.683997
"28",800.74715,2721.001368
"29",813.358113,2697.804459
"30",818.37183,2833.356328
"31",809.770907,2831.424028
"32",816.734615,2741.806535
"33",801.930925,2798.580955
"34",841.4564,2818.467501
"35",830.160809,2774.620039
"36",802.42287,2763.100696
"37",860.1005,2825.44924
"38",807.493923,2809.455211
"39",859.42298,2832.129788
"40",849.80212,2807.18445
"41",811.7192,2782.42828
"42",839.65744,2686.294652
"43",827.081358,2629.649698
"44",807.59651,2591.802042
"45",799.4798,2637.6495865
"46",816.23536,2543.900337
"47",794.27221,2659.68603
"48",804.71965,2739.6176
"49",815.315092,2641.063758
"50",806.059656,2640.923396
"51",818.6889,2674.16185
"52",792.835594,2628.182204
"53",801.32098,2573.1953482
"54",800.8465,2554.993079
"55",813.16537,2583.399385
"56",804.54812,2609.320603
"57",797.133359,2631.531039
"58",792.184067,2668.974571
"59",797.22601,2622.556606
"60",801.279083,2605.977321
"61",839.230561,2617.261791
"62",827.91049,2681.929623
"63",777.903809,2678.382899
"64",792.568423,2699.340412
"65",804.82633,2721.41664
"66",819.383761,2695.580061
"67",826.263597,2681.869057
"68",778.789901,2654.858791
"69",792.70977,2665.83065
"70",813.629357,2634.310784
"71",811.29307,2600.549965
"72",815.111599,2725.668187
"73",801.691988,2718.519472
"74",800.718956,2782.369128
"75",809.6367319,2674.1960309
"76",799.035853,2724.43606
"77",817.584845,2729.42723
"78",805.017301,2653.591707
"79",819.15147,2590.510109
"80",829.09868,2612.85504
"81",852.262737,2548.173706
"82",823.250953,2540.851632
"83",847.17679,2633.98936
"84",834.91584,2671.249902
"85",806.227284,2741.136177
"86",809.358734,2722.42314
"87",789.670921,2797.781131
"88",815.342846,2811.363986
"89",799.814399,2769.354222
"90",799.34508,2773.224491
"91",801.33487,2661.57286
"92",810.61954,2576.208976
"93",806.62833,2585.41459
"94",807.16433,2627.048288
"95",802.46786,2716.367402
"96",797.333649,2627.446959
"97",786.330684,2612.510388
"98",791.053783,2569.568588
"99",786.807944,2575.487208
"100",772.553704,2675.501572
"101",805.546637,2729.729729
"102",795.18417,2671.30762
"103",791.81955,2572.443955
"104",822.3836523,2554.7109593
"105",843.0028724,2575.5648344
"106",839.98462,2678.66644
"107",841.06633,2729.65912
"108",855.13422,2780.05429
"109",861.87578,2845.05261
"110",868.395237,2778.353727
"111",818.066796,2673.272216
"112",820.99328,2640.71803
"113",807.81716,2556.7026
"114",801.03974,2622.50259
"115",806.59342,2604.67969
"116",812.32406,2583.94891
"117",814.81559,2600.86585
"118",797.48006,2654.790995
"119",797.70042,2615.113369
"120",813.3759,2633.50166
"121",806.82884,2646.31094
"122",792.369971,2630.286895
"123",801.39437,2646.41182
"124",803.00501,2565.587137
"125",806.068815,2504.737766
"126",836.654553,2608.1250579
"127",803.205408,2653.877842
"128",834.79502,2720.035199
"129",792.969366,2611.785306
"130",801.09759,2579.16692
"131",806.80561,2587.08477
"132",790.6645,2598.35609
"133",785.22131,2633.29683
"134",769.699,2593.85968
"135",805.58124,2665.72218
"136",798.989495,2612.2630633
"137",818.763585,2681.773803
"138",798.53927,2654.682669
"139",794.000538,2622.218308
"140",822.97537,2591.222098
"141",782.224122,2554.830932
"142",797.588971,2532.93266
"143",864.335628,2603.828087
"144",834.27703,2616.477414
"145",833.87483,2607.326348
"146",840.10947,2671.053
"147",853.34964,2663.904682
"148",854.79921,2781.171896
"149",845.76455,2745.60548
"150",816.977059,2640.008379
"151",801.1391,2547.38204
"152",800.735232,2605.394632
"153",816.291768,2591.641386
"154",796.823263,2567.565026
"155",821.049609,2558.590264
"156",803.413029,2528.724759
"157",811.75636,2582.19246
"158",796.40964,2586.844917
"159",795.33526,2630.88038
"160",796.92902,2686.794243
"161",798.72167,2615.041957
"162",798.51264,2562.2569703
"163",796.02084,2598.568448
"164",801.19674,2591.842662
"165",800.4394,2667.734255
"166",803.27119,2735.547416
"167",808.14428,2732.298033
"168",836.722009,2747.542157
"169",805.86023,2693.506704
"170",835.78262,2626.478026
"171",879.306503,2604.438121
"172",805.96154,2716.3237422
"173",806.106339,2686.5275
"174",804.753156,2763.259376
"175",837.48389,2794.469482
"176",795.957358,2785.604067
"177",813.95902,2784.821894
"178",810.925058,2708.916168
"179",820.33465,2637.22599
"180",790.492119,2647.958324
"181",798.97822,2664.928281
"182",803.19716,2782.66894
"183",851.396185,2638.409105
"184",792.214134,2650.654677
"185",801.372704,2678.442314
"186",792.65638,2661.923362
"187",804.19692,2633.088855
"188",794.61003,2699.86444
"189",781.367166,2656.250135
"190",799.648678,2569.559588
"191",798.700511,2587.425051
"192",815.18903,2664.756631
"193",794.85083,2597.697951
"194",795.69401,2636.0979
"195",812.9242802,2603.6658102
"196",804.24977,2649.6608933
"197",806.9866877,2686.2728637
"198",814.8082487,2705.7098947
"199",800.68494,2824.52151
"200",772.352687,2897.865086
"201",748.612381,2924.287411
"202",779.814911,2950.093551
"203",751.807578,2945.127883
"204",671.5549872,2933.5354922
"205",671.97603,2811.567252
"206",671.0051692,2857.0667752
"207",655.63924,2817.493679
"208",651.52595,2746.970561
"209",682.11765,2730.492323
"210",676.3492,2819.655408
"211",705.662931,2757.721901
"212",740.436203,2818.182549
"213",721.660908,2819.323988
"214",700.73261,2821.297414
"215",696.372693,2724.298017
"216",734.962912,2770.395882
"217",737.17381,2711.061415
"218",777.28278,2721.293383
"219",795.1048459,2688.0489279
"220",797.932593,2725.821924
"221",826.09026,2688.9219209
"222",793.776454,2662.46262
"223",787.000161,2677.436971
"224",841.409411,2625.569364
"225",796.583684,2758.683454
"226",794.405985,2709.434602
"227",752.381996,2710.434896
"228",759.74464,2633.023937
"229",805.33531,2740.076335
"230",814.32814,2711.551293
"231",794.295193,2602.232481
"232",837.534683,2561.470204
"233",820.4159,2583.37297
"234",833.85118,2580.466722
"235",847.55633,2688.533515
"236",820.948903,2696.811153
"237",815.001622,2624.382112
"238",791.960362,2684.149342
"239",787.605964,2690.081212
"240",808.259587,2666.478282
"241",806.458887,2754.320053
"242",805.715634,2741.519921
"243",820.390441,2748.081628
"244",824.093,2673.62823
"245",799.220347,2575.027677
"246",783.40281,2595.578266
"247",805.827563,2568.800794
"248",794.821423,2555.724883
"249",804.119135,2673.0588
