Core,Depth in Core,Depth in Composite,Wet Density,Dry Density
JPC05,1040,1422,1.3169,0.61905
JPC05,1050,1432,1.4221,0.6757
JPC05,1060,1442,1.2905,0.5844
JPC05,1070,1452,1.4086,0.72075
JPC05,1080,1462,1.577210526,1.127368421
JPC05,1090,1472,1.955823529,1.448352941
JPC05,1100,1482,1.671722222,1.069166667
JPC05,1110,1492,1.413611111,1.001555556
JPC05,1120,1502,1.462578947,1.056894737
JPC05,1130,1512,1.288809524,0.983857143
JPC05,1140,1522,1.494466667,1.167066667
JPC05,1150,1532,1.310769231,1.061076923
JPC05,1160,1542,1.712363636,1.270545455
JPC05,1170,1552,1.46845,0.7514
JPC05,1180,1562,1.4011,0.6533
JPC05,1190,1572,1.3043,0.5426
JPC05,1200,1582,1.4384375,0.767625
JPC05,1210,1592,1.3095,0.732833333
JPC05,1220,1602,1.3918,0.692733333
JPC05,1230,1612,1.32315,0.6424
JPC05,1240,1622,1.482833333,0.771166667
JPC05,1250,1632,1.244,0.520466667
JPC05,1260,1642,1.1681875,0.501375
JPC05,1270,1652,1.3337,0.5964
JPC05,1280,1662,1.320578947,0.565052632
JPC05,1290,1672,1.39775,0.6818
JPC05,1300,1682,1.3643,0.65675
JPC05,1310,1692,1.2253,0.45545
JPC05,1320,1702,1.278,0.518684211
JPC04,76,1710,1.437,0.646894737
JPC04,86,1720,1.168157895,0.393157895
JPC04,96,1730,1.250578947,0.487421053
JPC04,106,1740,1.266411765,0.432529412
JPC04,116,1750,1.3344375,0.4809375
JPC04,126,1760,1.179166667,0.353
JPC04,136,1770,1.25575,0.448791667
JPC04,146,1780,1.27065,0.48015
JPC04,2,1790,1.4845,0.714055556
JPC04,12,1800,1.642357143,1.113
JPC04,22,1810,1.21765,0.38605
JPC04,32,1820,1.367954545,0.586227273
JPC04,42,1830,1.25795,0.4346
JPC04,52,1840,1.436888889,0.596166667
JPC04,62,1850,1.3283,0.5068
JPC04,72,1860,1.273631579,0.417526316
JPC04,82,1870,1.5235,0.63085
JPC04,92,1880,1.3405625,0.4984375
JPC04,102,1890,1.22025,0.4153
JPC04,112,1900,1.629565217,0.981956522
JPC04,122,1910,1.362681818,0.590727273
