"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67"
"451",3.6046,15.42086,92.1539,251.22003,265.687878,289.777086,293.462814,324.19047,353.75264,357.53045,558.4013,601.7039,611.094935,621.75209,627.98963,642.83831,707.25111,712.77847,738.07289,827.0172864,827.2315446,829.608383,839.404494,852.654894,857.981085,860.715004,864.231274,866.575454,870.091724,1044.821024,1067.754874,1120.118865,1254.459376,1268.003249,1292.538874,1337.061774,1344.304644,1364.238732,1366.723774,1368.22751,1450.106184,1552.510734,1716.901004,1747.860944,1849.099924,1849.915633,1850.459439,2045.093224,2085.287474,2160.401724,2283.276724,2342.253224,2348.404624,2537.004084,2548.691704,2707.904884,3062.643814,3447.811214,4080.723414,5293.669114,5640.850949,5926.801664,6717.087864,7156.268764,7357.841344,7690.166704,7883.368894
"452",15.289668,25.46916,96.60169,257.3856,273.045995,285.769487,288.862903,313.02568,351.25961,355.03661,538.93598,592.7,604.55673,616.346908,620.427574,636.440914,685.568784,691.901804,728.304774,796.484748,797.17461,799.711903,811.092594,829.083294,837.823445,839.857638,841.145409,842.003923,843.291694,993.350044,1027.841682,1053.556084,1180.085084,1204.681204,1225.651394,1260.03406,1262.772748,1281.152884,1293.435174,1302.114094,1375.983144,1477.705654,1637.440074,1679.934164,1739.750464,1745.164564,1748.773964,2058.605564,2088.920214,2144.522164,2280.222364,2348.521808,2350.31213,2535.185754,2547.830394,2697.142124,3109.030884,3444.493444,4075.898844,5340.150444,5697.487104,6009.635334,6537.750844,7106.955944,7393.778304,7894.444544,8006.275244
"453",17.15862,28.7605,100.032605,248.623885,260.487683,282.694645,291.722005,318.592605,358.707107,361.663475,558.781155,612.512235,622.35746,632.144839,651.443955,670.033995,701.365855,709.680855,746.941365,812.190859,814.414516,825.286045,852.442475,862.999595,869.300757,871.978739,874.207205,875.692849,877.921315,997.005005,1021.431236,1047.365397,1202.778625,1238.865215,1260.942145,1323.868155,1331.235645,1353.685308,1355.75849,1356.731286,1440.575125,1549.753965,1680.390385,1696.327775,1804.111945,1810.147255,1814.170795,2050.191235,2080.676385,2157.197635,2294.369835,2416.809275,2422.858795,2621.215425,2634.556905,2739.164655,3132.860335,3503.772845,3960.167975,5130.915375,5720.953695,6083.419398,6703.321165,7262.072965,7435.586615,7805.647935,7846.174725
"454",20.10662,31.99734,102.74871,262.015797,266.742123,285.3507,294.29942,312.48484,350.465718,352.348725,502.5846,561.93627,573.89335,582.117956,620.06946,646.1043,685.97069,696.15715,736.9959,822.52057,826.40779,834.22382,852.75105,862.69071,870.070524,874.10771,877.54925,879.84361,883.28515,989.74132,1013.03575,1050.3107,1185.06413,1211.94953,1255.05217,1317.35199,1324.95993,1369.13583,1373.94724,1375.222144,1430.88811,1551.57974,1677.64719,1724.703228,1789.47746,1799.63198,1806.40166,2064.85999,2099.22324,2152.5149,2308.819,2360.40832,2364.85868,2568.8015,2582.4737,2700.56378,3067.93332,3467.43603,4097.53783,5146.46303,5652.04802,6207.00716,6836.69813,7309.09833,7494.68213,7733.17845,7808.87421
"455",19.32152,32.97592,101.13071,264.0676523,266.773138,286.240349,291.198749,298.247722,352.898469,354.263484,539.746309,599.098969,613.188809,624.830803,637.291019,658.965119,707.835749,718.022409,762.550929,856.265139,860.978229,866.848019,879.391279,886.929739,890.364116,894.197889,899.356119,902.794939,907.953169,1011.277539,1055.236289,1095.803259,1202.613369,1218.633439,1246.654329,1303.148049,1314.775989,1359.399849,1365.398479,1368.298007,1424.598521,1504.020069,1635.756112,1667.401767,1727.623009,1736.011729,1741.604209,1993.209039,2025.383139,2091.862069,2208.811269,2260.338309,2265.098829,2490.269779,2510.992339,2599.479699,3129.402609,3483.110739,4046.011739,5132.819939,5618.447449,6069.817309,6758.450609,7266.619039,7462.917169,7851.582689,7913.554949
"456",10.22134,23.33916,90.223655,257.435869,261.841694,283.752991,289.822415,309.274173,379.770365,380.341418,537.646053,596.999973,613.781953,627.716047,640.478143,651.854503,683.064973,693.251633,737.763343,839.740833,844.453563,848.939888,862.547883,882.963963,892.634647,896.508563,900.477443,903.123363,907.092243,1029.934353,1072.463233,1105.182235,1193.52582,1224.824705,1260.35947,1319.72847,1326.1086,1360.2399,1372.66896,1380.71256,1416.200124,1525.67356,1670.3144572,1699.29076,1801.377426,1808.910276,1813.932176,2010.948266,2038.860116,2128.652466,2233.699696,2311.675886,2323.455146,2512.419296,2528.845496,2669.5761,3270.918296,3699.049696,4206.978296,5194.360096,5665.618176,6113.942426,6851.649696,7384.375766,7677.232466,7881.090506,7918.787816
"457",11.69998,25.92442,76.11476,255.140623,260.145198,284.91159,296.22815,310.38661,385.240878,385.830705,566.63285,616.05158,624.7786,634.50779,650.34925,661.63651,678.7745,684.00498,723.44606,807.981232,810.363103,814.17851,828.96088,852.15784,883.72075,897.0649,901.76146,904.8925,909.58906,1027.82946,1076.90558,1113.110393,1197.07109,1235.13881,1305.78107,1361.63529,1368.34911,1386.654984,1393.98381,1399.41325,1442.784266,1577.47775,1715.134858,1722.16592,1833.34896,1842.14763,1848.01341,2037.27644,2055.13564,2122.52384,2296.76824,2366.16786,2377.46922,2602.85111,2616.88097,2707.109277,3225.42937,3631.49627,4155.98127,5126.77737,5680.35607,6072.60115,6568.50827,7141.66753,7361.39894,7803.14134,7877.26075
"458",16.03248,45.4586,104.34489,260.666507,266.90724,291.368847,312.151327,322.471525,410.140569,410.724315,584.529975,634.582845,643.352985,650.416077,659.720935,677.332015,698.377012,700.002006,713.011145,856.918715,860.495525,868.623435,892.197575,914.370515,945.635345,958.652455,962.830645,965.616105,969.794295,1092.131415,1114.741135,1153.625705,1291.352065,1319.304495,1386.695545,1450.439015,1458.883985,1488.489755,1499.218725,1506.671605,1546.745889,1650.166595,1755.768532,1765.959085,1865.432205,1872.762795,1877.649855,2136.871695,2150.154145,2202.592425,2270.304555,2346.536785,2355.295645,2579.850775,2602.811195,2753.060165,3258.411565,3608.981765,4102.157665,5120.385275,5683.888965,6098.405855,6665.484565,7235.292185,7518.769305,7913.928545,7956.820895
"459",17.91358,47.556,105.77728,257.96402,264.479892,286.32974,295.46726,303.920797,388.455908,389.038772,567.639692,617.379902,623.0900645,623.6296898,630.723395,648.302915,673.667946,675.247448,687.556135,830.638135,833.716135,841.775935,869.000335,901.436935,933.244025,947.339895,954.986985,960.085045,967.732135,1084.586635,1100.239655,1143.337235,1281.484155,1306.74796,1375.454345,1438.355685,1447.424925,1488.234945,1499.090205,1505.759165,1541.515273,1609.372167,1736.638285,1752.190925,1855.273485,1860.994965,1864.809285,2123.293955,2130.334305,2185.833355,2277.971955,2356.750195,2365.493215,2576.768045,2599.738445,2738.752107,3275.994665,3609.925165,4082.634265,5133.693215,5674.067265,6114.060155,6713.398525,7190.084715,7430.952225,7847.105785,7921.608865
"460",22.60056,52.20528,105.957376,258.550606,266.860649,280.308216,291.891976,300.965353,396.257556,396.837366,600.265316,650.271116,656.1050315,658.115397,662.270157,682.175037,708.10478,709.136026,723.043687,848.811919,850.544485,857.227817,883.624547,920.074067,953.252047,966.055927,971.743657,975.535477,981.223207,1071.273527,1087.079137,1130.267137,1274.437355,1303.772217,1375.117087,1429.920627,1438.740957,1477.264497,1489.356117,1497.173157,1539.342117,1620.829647,1745.219557,1771.309837,1862.864957,1868.133767,1871.646307,2109.032907,2109.269851,2155.679795,2265.870515,2361.989335,2371.196995,2627.035535,2660.616415,2842.956455,3207.081655,3569.458555,4122.156355,5091.731055,5684.521055,6105.137655,6643.307855,7066.590265,7288.851675,7710.555675,7818.822675
