time,height
1630577041,0.56
1630578841,0.54
1630580641,0.51
1630582441,0.59
1630584241,0.54
1630586041,0.53
1630587841,0.59
1630589641,0.61
1630591441,0.61
1630593241,0.56
1630595041,0.59
1630596841,0.59
1630598641,0.57
1630600441,0.58
1630602241,0.57
1630604041,0.59
1630605841,0.61
1630607641,0.62
1630609441,0.59
1630611241,0.62
1630613041,0.58
1630614841,0.51
1630616641,0.54
1630618441,0.53
1630620241,0.5
1630622041,0.5
1630623841,0.53
1630625641,0.55
1630627441,0.54
1630629241,0.5
1630631041,0.51
1630632841,0.45
1630634641,0.46
1630636441,0.45
1630638241,0.44
1630640041,0.44
1630641841,0.45
1630643641,0.47
1630645441,0.45
1630647241,0.47
1630649041,0.53
1630650841,0.58
1630652641,0.61
1630654441,0.58
1630656241,0.59
1630658041,0.58
1630659841,0.58
1630661641,0.61
1630663441,0.63
1630665241,0.66
1630667041,0.63
1630668841,0.68
1630670641,0.7
1630672441,0.67
1630674241,0.7
1630676041,0.77
1630677841,0.71
1630679641,0.68
1630681441,0.63
1630683241,0.61
1630685041,0.52
1630686841,0.49
1630688641,0.46
1630690441,0.43
1630692241,0.43
1630694041,0.39
1630695841,0.37
1630697641,0.38
1630699441,0.38
1630701241,0.37
1630703041,0.38
1630704841,0.33
1630706641,0.35
1630708441,0.37
1630710241,0.43
1630712041,0.43
1630713841,0.45
1630715641,0.45
1630717441,0.45
1630719241,0.45
1630721041,0.46
1630722841,0.46
1630724641,0.44
1630726441,0.42
1630728241,0.38
1630730041,0.37
1630731841,0.38
1630733641,0.39
1630735441,0.38
1630737241,0.42
1630739041,0.42
1630740841,0.47
1630742641,0.45
1630744441,0.5
1630746241,0.51
1630748041,0.53
1630749841,0.54
1630751641,0.54
1630753441,0.56
1630755241,0.56
1630757041,0.57
1630758841,0.58
1630760641,0.58
1630762441,0.6
1630764241,0.61
1630766041,0.55
1630767841,0.59
1630769641,0.54
1630771441,0.55
1630773241,0.54
1630775041,0.49
1630776841,0.49
1630778641,0.45
1630780441,0.44
1630782241,0.45
1630784041,0.44
1630785841,0.51
1630787641,0.48
1630789441,0.49
1630791241,0.52
1630793041,0.48
1630794841,0.49
1630796641,0.48
1630798441,0.44
1630800241,0.42
1630802041,0.44
1630803841,0.43
1630805641,0.44
1630807441,0.43
1630809241,0.4
1630811041,0.4
1630812841,0.42
1630814641,0.4
1630816441,0.4
1630818241,0.41
1630820041,0.43
1630821841,0.42
1630823641,0.39
1630825441,0.36
1630827241,0.38
1630829041,0.37
1630830841,0.36
1630832641,0.39
1630834441,0.38
1630836241,0.38
1630838041,0.38
1630839841,0.42
1630841641,0.41
1630843441,0.42
1630845241,0.46
1630847041,0.46
1630848841,0.4
1630850641,0.43
1630852441,0.41
1630854241,0.37
1630856041,0.38
1630857841,0.39
1630859641,0.41
1630861441,0.42
1630863241,0.41
1630865041,0.41
1630866841,0.41
1630868641,0.41
1630870441,0.45
1630872241,0.51
1630874041,0.64
1630875841,0.65
1630877641,0.71
1630879441,0.83
1630881241,0.86
1630883041,0.83
1630884841,0.81
1630886641,0.8
1630888441,0.8
1630890241,0.76
1630892041,0.75
1630893841,0.73
1630895641,0.69
1630897441,0.68
1630899241,0.67
1630901041,0.73
1630902841,0.65
1630904641,0.63
1630906441,0.61
1630908241,0.59
1630910041,0.65
1630911841,0.65
1630913641,0.64
1630915441,0.71
1630917241,0.67
1630919041,0.74
1630920841,0.71
1630922641,0.75
1630924441,0.75
1630926241,0.71
1630928041,0.67
1630929841,0.61
1630931641,0.58
1630933441,0.53
1630935241,0.52
1630937041,0.53
1630938841,0.53
1630940641,0.51
1630942441,0.56
1630944241,0.54
1630946041,0.52
1630947841,0.54
1630949641,0.52
1630951441,0.54
1630953241,0.53
1630955041,0.53
1630956841,0.54
1630958641,0.58
1630960441,0.59
1630962241,0.58
1630964041,0.61
1630965841,0.62
1630967641,0.59
1630969441,0.61
1630971241,0.63
1630973041,0.58
1630974841,0.58
1630976641,0.55
1630978441,0.6
1630980241,0.56
1630982041,0.56
1630983841,0.58
1630985641,0.64
1630987441,0.6
1630989241,0.56
1630991041,0.57
1630992841,0.6
1630994641,0.54
1630996441,0.51
1630998241,0.6
1631000041,0.61
1631001841,0.63
1631003641,0.67
1631005441,0.62
1631007241,0.64
1631009041,0.67
1631010841,0.66
1631012641,0.61
1631014441,0.6
1631016241,0.6
1631018041,0.53
1631019841,0.52
1631021641,0.53
1631023441,0.46
1631025241,0.44
1631027041,0.44
1631028841,0.44
1631030641,0.42
1631032441,0.4
1631034241,0.4
1631036041,0.39
1631037841,0.41
1631039641,0.41
1631041441,0.43
1631043241,0.43
1631045041,0.46
1631046841,0.47
1631048641,0.5
1631050441,0.5
1631052241,0.53
1631054041,0.53
1631055841,0.58
1631057641,0.58
1631059441,0.58
1631061241,0.61
1631063041,0.56
1631064841,0.56
1631066641,0.6
1631068441,0.54
1631070241,0.55
1631072041,0.57
1631073841,0.53
1631075641,0.54
1631077441,0.51
1631079241,0.52
1631081041,0.5
1631082841,0.5
1631084641,0.51
1631086441,0.47
1631088241,0.49
1631090041,0.5
1631091841,0.47
1631093641,0.46
1631095441,0.49
1631097241,0.53
1631099041,0.52
1631100841,0.51
1631102641,0.55
1631104441,0.55
1631106241,0.54
1631108041,0.52
1631109841,0.52
1631111641,0.51
1631113441,0.54
1631115241,0.51
1631117041,0.51
1631118841,0.55
1631120641,0.55
1631122441,0.55
1631124241,0.51
1631126041,0.51
1631127841,0.52
1631129641,0.53
1631131441,0.55
1631133241,0.5
1631135041,0.53
1631136841,0.63
1631138641,0.64
1631140441,0.6
1631142241,0.69
1631144041,0.68
1631145841,0.82
1631147641,0.88
1631149441,0.95
1631151241,1.07
1631153041,1.11
1631154841,1.21
1631156641,1.31
1631158441,1.43
1631160241,1.49
1631162041,1.58
1631163841,1.58
1631165641,1.44
1631167441,1.32
1631169241,1.31
1631171041,1.2
1631172841,1.19
1631174641,1.04
1631176441,1.06
1631178241,0.93
1631180041,0.86
1631181841,0.87
1631183641,0.79
1631185441,0.87
1631187241,0.87
1631189041,0.89
1631190841,0.87
1631192641,0.85
1631194441,0.86
1631196241,0.83
1631198041,0.94
1631199841,0.83
1631201641,0.76
1631203441,0.75
1631205241,0.77
1631207041,0.71
1631208841,0.69
1631210641,0.67
1631212441,0.63
1631214241,0.65
1631216041,0.69
1631217841,0.7
1631219641,0.71
1631221441,0.68
1631223241,0.63
1631225041,0.62
1631226841,0.59
1631228641,0.64
1631230441,0.64
1631232241,0.69
1631234041,0.75
1631235841,0.79
1631237641,0.81
1631239441,0.83
1631241241,0.87
1631243041,0.91
1631244841,1.01
1631246641,1.02
1631248441,1.01
1631250241,0.98
1631252041,1.01
1631253841,0.95
1631255641,0.93
1631257441,0.94
1631259241,0.89
1631261041,0.92
1631262841,0.85
1631264641,0.81
1631266441,0.81
1631268241,0.85
1631270041,0.78
1631271841,0.8
1631273641,0.74
1631275441,0.74
1631277241,0.77
1631279041,0.79
1631280841,0.79
1631282641,0.82
1631284441,0.8
1631286241,0.82
1631288041,0.81
1631289841,0.81
1631291641,0.75
1631293441,0.76
1631295241,0.76
1631297041,0.8
1631298841,0.87
1631300641,0.84
1631302441,0.8
1631304241,0.88
1631306041,0.73
1631307841,0.79
1631309641,0.78
1631311441,0.8
1631313241,0.67
1631315041,0.69
1631316841,0.68
1631318641,0.72
1631320441,0.66
1631322241,0.64
1631324041,0.64
1631325841,0.67
1631327641,0.67
1631329441,0.71
1631331241,0.66
1631333041,0.68
1631334841,0.7
1631336641,0.63
1631338441,0.7
1631340241,0.65
1631342041,0.7
1631343841,0.68
1631345641,0.73
1631347441,0.7
1631349241,0.73
1631351041,0.69
1631352841,0.66
1631354641,0.74
1631356441,0.72
1631358241,0.7
1631360041,0.69
1631361841,0.77
1631363641,0.84
1631365441,0.78
1631367241,0.82
1631369041,0.89
1631370841,0.83
1631372641,0.88
1631374441,0.83
1631376241,0.84
1631378041,0.83
1631379841,0.84
1631381641,0.83
1631383441,0.69
1631385241,0.78
1631387041,0.63
1631388841,0.69
1631390641,0.58
1631392441,0.59
1631394241,0.58
1631396041,0.52
1631397841,0.55
1631399641,0.52
1631401441,0.56
1631403241,0.53
1631405041,0.54
1631406841,0.5
1631408641,0.51
1631410441,0.51
1631412241,0.51
1631414041,0.52
1631415841,0.48
1631417641,0.51
1631419441,0.49
1631421241,0.51
1631423041,0.5
1631424841,0.56
1631426641,0.58
1631428441,0.65
1631430241,0.67
1631432041,0.71
1631433841,0.68
1631435641,0.69
1631437441,0.7
1631439241,0.78
1631441041,0.89
1631442841,1.14
1631444641,1.38
1631446441,1.61
1631448241,1.72
1631450041,1.83
1631451841,1.88
1631453641,1.91
1631455441,2.79
1631457241,1.97
1631459041,1.95
1631460841,2
1631462641,1.88
1631464441,1.81
1631466241,1.62
1631468041,1.81
1631469841,1.66
1631471641,1.57
1631473441,1.53
1631475241,1.67
1631477041,1.56
1631478841,1.56
1631480641,1.59
1631482441,1.57
1631484241,1.61
1631486041,1.76
1631487841,1.7
1631489641,1.63
1631491441,1.66
1631493241,1.52
1631495041,1.57
1631496841,1.67
1631498641,1.58
1631500441,1.63
1631502241,1.57
1631504041,1.55
1631505841,1.59
1631507641,1.51
1631509441,1.52
1631511241,1.51
1631513041,1.53
1631514841,1.4
1631516641,1.56
1631518441,1.47
1631520241,1.51
1631522041,1.41
1631523841,1.39
1631525641,1.37
1631527441,1.43
1631529241,1.45
1631531041,1.47
1631532841,1.36
1631534641,1.34
1631536441,1.4
1631538241,1.47
1631540041,1.37
1631541841,1.4
1631543641,1.35
1631545441,1.52
1631547241,1.52
1631549041,1.62
1631550841,1.63
1631552641,1.65
1631554441,1.74
1631556241,1.62
1631558041,1.64
1631559841,1.7
1631561641,1.62
1631563441,1.53
1631565241,1.58
1631567041,1.4
1631568841,1.38
1631570641,1.38
1631572441,1.39
1631574241,1.37
1631576041,1.37
1631577841,1.42
1631579641,1.48
1631581441,1.53
1631583241,1.57
1631585041,1.41
1631586841,1.57
1631588641,1.57
1631590441,1.53
1631592241,1.59
1631594041,1.57
1631595841,1.61
1631597641,1.64
1631599441,1.55
1631601241,1.57
1631603041,1.72
1631604841,1.68
1631606641,1.67
1631608441,1.64
1631610241,1.8
1631612041,1.74
1631613841,1.71
1631615641,1.62
1631617441,1.62
1631619241,1.62
1631621041,1.71
1631622841,1.47
1631624641,1.59
1631626441,1.45
1631628241,1.56
1631630041,1.48
1631631841,1.49
1631633641,1.4
1631635441,1.35
1631637241,1.35
1631639041,1.36
1631640841,1.4
1631642641,1.43
1631644441,1.44
1631646241,1.31
1631648041,1.37
1631649841,1.38
1631651641,1.31
1631653441,1.34
1631655241,1.38
1631657041,1.4
1631658841,1.38
1631660641,1.27
1631662441,1.29
1631664241,1.14
1631666041,1.14
1631667841,1.14
1631669641,1.04
1631671441,1.01
1631673241,0.84
1631675041,0.85
1631676841,0.8
1631678641,0.74
1631680441,0.75
1631682241,0.79
1631684041,0.78
1631685841,0.74
1631687641,0.65
1631689441,0.65
1631691241,0.6
1631693041,0.62
1631694841,0.65
1631696641,0.6
1631698441,0.66
1631700241,0.76
1631702041,0.66
