time,height
1630648579,0.25
1630650379,0.27
1630652179,0.26
1630653979,0.27
1630655779,0.24
1630657579,0.27
1630659379,0.26
1630661179,0.26
1630662979,0.27
1630664779,0.28
1630666579,0.29
1630668379,0.28
1630670179,0.28
1630671979,0.3
1630673779,0.3
1630675579,0.3
1630677379,0.29
1630679179,0.3
1630680979,0.28
1630682779,0.27
1630684579,0.23
1630686379,0.21
1630688179,0.17
1630689979,0.16
1630691779,0.14
1630693579,0.13
1630695379,0.13
1630697179,0.12
1630698979,0.12
1630700779,0.12
1630702579,0.12
1630704379,0.14
1630706179,0.13
1630707979,0.13
1630709779,0.14
1630711579,0.17
1630713379,0.18
1630715179,0.19
1630716979,0.18
1630718779,0.18
1630720579,0.19
1630722379,0.21
1630724179,0.25
1630725979,0.26
1630727779,0.26
1630729579,0.24
1630731379,0.23
1630733179,0.24
1630734979,0.24
1630736779,0.26
1630738579,0.27
1630740379,0.28
1630742179,0.27
1630743979,0.26
1630745779,0.3
1630747579,0.3
1630749379,0.31
1630751179,0.34
1630752979,0.35
1630754779,0.34
1630756579,0.32
1630758379,0.31
1630760179,0.29
1630761979,0.3
1630763779,0.3
1630765579,0.29
1630767379,0.28
1630769179,0.27
1630770979,0.24
1630772779,0.25
1630774579,0.24
1630776379,0.23
1630778179,0.2
1630779979,0.2
1630781779,0.21
1630783579,0.22
1630785379,0.22
1630787179,0.24
1630788979,0.25
1630790779,0.25
1630792579,0.26
1630794379,0.25
1630796179,0.25
1630797979,0.25
1630799779,0.24
1630801579,0.22
1630803379,0.23
1630805179,0.24
1630806979,0.2
1630808779,0.24
1630810579,0.24
1630812379,0.25
1630814179,0.23
1630815979,0.21
1630817779,0.23
1630819579,0.22
1630821379,0.22
1630823179,0.21
1630824979,0.21
1630826779,0.18
1630828579,0.18
1630830379,0.19
1630832179,0.19
1630833979,0.19
1630835779,0.19
1630837579,0.18
1630839379,0.17
1630841179,0.19
1630842979,0.19
1630844779,0.21
1630846579,0.21
1630848379,0.2
1630850179,0.23
1630851979,0.21
1630853779,0.19
1630855579,0.18
1630857379,0.17
1630859179,0.18
1630860979,0.18
1630862779,0.18
1630864579,0.17
1630866379,0.18
1630868179,0.16
1630869979,0.18
1630871779,0.21
1630873579,0.26
